,creation_date,stars,size,contributor_count,contributor_companies_count,branch_count,commit_count,commit_comment_count,last_commit_date,labels_count,tag_count,milestone_count,pullrequest_count,pullrequest_review_count,release_count,workflow_count,readme_length,issues_count,issues_comment_count,has_wiki,has_pages,has_projects,has_downloads,watchers_count,is_fork,prog_language,file_readme,file_code_of_conduct,file_contributing,file_funding,file_IssuePR_templates,file_security,file_support,year,task,student_type,Task_3_extInstructSet,teamKey
0,2021-05-23 12:32:28,0,11,4,1,1,9,0,2021-05-23 15:24:26,9,1,0,2,5,1,1,4697,3,2,True,False,True,True,False,False,Python,2021-05-23 12:32:29,,,,,,,2021,3,Fac1,0.0,0
1,2021-05-22 08:50:21,0,22,4,1,2,17,0,2021-05-26 22:15:13,9,1,1,1,1,1,1,6629,2,0,True,False,True,True,False,False,Python,2021-05-22 08:50:22,,,,,,,2021,3,Fac1,1.0,1
2,2021-05-20 06:43:46,1,25,5,2,1,14,0,2021-05-27 15:51:03,9,0,0,1,0,0,1,4697,2,4,True,False,True,True,True,False,Python,2021-05-20 06:43:47,,,,,,,2021,3,Fac1,0.0,2
3,2021-05-21 16:19:05,0,31,4,1,1,10,0,2021-05-25 05:28:53,9,1,0,2,0,1,1,4697,4,1,True,False,True,True,False,False,Python,2021-05-21 16:19:07,,,,,,,2021,3,Fac1,0.0,3
4,2021-05-20 07:07:56,1,31,4,1,3,19,0,2021-05-20 09:20:37,9,1,0,4,0,1,1,6702,6,3,True,False,True,True,True,False,Python,2021-05-20 07:07:57,,,,,,,2021,3,Fac1,1.0,4
5,2021-05-20 13:34:33,0,14,4,1,2,5,0,2021-05-25 10:57:12,9,1,0,1,3,1,1,4697,2,1,True,False,True,True,False,False,Python,2021-05-20 13:34:34,,,,,,,2021,3,Fac1,0.0,5
6,2021-05-25 12:12:34,0,13,3,1,2,7,0,2021-05-27 12:19:04,9,2,0,2,1,2,1,6629,4,0,True,False,True,True,False,False,Python,2021-05-25 12:12:36,,,,,,,2021,3,Fac1,1.0,6
7,2021-05-20 19:03:21,0,15,4,2,2,10,0,2021-05-28 06:40:32,9,1,1,1,0,1,1,4697,4,3,True,False,True,True,False,False,Python,2021-05-20 19:03:22,,,,,,,2021,3,Fac1,0.0,7
8,2021-05-21 14:30:35,1,47,4,1,3,47,0,2021-05-26 13:24:15,9,0,0,1,0,0,1,6629,3,2,True,False,True,True,True,False,Python,2021-05-21 14:30:36,,,,,,,2021,3,Fac1,1.0,8
9,2021-05-20 13:20:10,0,39,4,1,2,23,0,2021-05-27 12:28:06,9,1,0,3,7,1,1,4697,4,5,True,False,True,True,False,False,Python,2021-05-20 13:20:12,,,,,,,2021,3,Fac1,0.0,9
10,2021-05-25 07:07:04,0,13,4,2,2,7,0,2021-05-27 12:19:17,9,1,0,1,3,1,1,6629,2,0,True,False,True,True,False,False,Python,2021-05-25 07:07:06,,,,,,,2021,3,Fac1,1.0,10
11,2021-05-21 12:07:05,1,14,4,1,2,10,0,2021-05-27 12:17:26,9,1,0,1,3,1,1,4697,2,2,True,False,True,True,True,False,Python,2021-05-21 12:07:06,,,,,,,2021,3,Fac1,0.0,11
12,2021-05-20 14:31:57,0,32,4,3,1,20,2,2021-05-26 10:25:36,9,1,1,4,4,1,1,4697,8,2,True,False,True,True,False,False,Python,2021-05-20 14:31:59,,,,,,,2021,3,Fac1,0.0,12
13,2021-05-25 12:09:03,0,18,4,1,2,6,0,2021-05-25 13:13:10,9,0,0,1,0,0,1,6629,2,1,True,False,True,True,False,False,Python,2021-05-25 12:09:05,,,,,,,2021,3,Fac1,1.0,13
14,2021-05-25 06:29:06,0,11,5,1,2,7,0,2021-05-25 13:51:19,9,0,0,2,0,0,1,4697,3,1,True,False,True,True,False,False,Python,2021-05-25 06:29:07,,,,,,,2021,3,Fac1,0.0,14
15,2021-05-20 08:00:14,0,12,4,1,2,8,0,2021-05-21 09:14:33,9,1,0,2,0,1,1,4697,4,5,True,False,True,True,False,False,Python,2021-05-20 08:00:18,,,,,,,2021,3,Fac1,0.0,15
16,2021-05-25 12:05:20,0,11,3,1,2,4,0,2021-05-25 13:36:57,9,0,0,0,0,0,1,4697,2,3,True,False,True,True,False,False,Python,2021-05-25 12:05:21,,,,,,,2021,3,Fac1,0.0,16
17,2021-06-11 13:42:30,0,15,3,0,1,11,0,2021-06-18 12:47:12,9,0,0,1,0,0,0,6515,2,1,True,False,True,True,False,False,C#,2021-06-11 13:42:32,,,,,,,2021,3,Fac3,1.0,17
18,2021-06-15 09:37:34,2,11,3,0,2,6,1,2021-06-22 10:47:01,9,0,0,1,0,0,0,6515,2,0,True,False,True,True,True,False,,2021-06-15 09:37:35,,,,,,,2021,3,Fac3,1.0,18
19,2021-06-14 14:49:47,0,17,3,0,3,14,0,2021-06-23 12:52:49,9,3,0,5,0,3,0,6515,9,5,True,False,True,True,False,False,C#,2021-06-14 14:49:48,,,,,,,2021,3,Fac3,1.0,19
20,2021-06-15 09:53:13,1,4,1,0,1,1,0,2021-06-15 09:53:14,9,0,0,0,0,0,0,6515,0,0,True,False,True,True,True,False,,2021-06-15 09:53:14,,,,,,,2021,3,Fac3,1.0,20
21,2021-06-15 09:14:10,0,16,3,0,2,11,0,2021-06-23 08:59:55,9,1,0,1,0,1,0,6515,2,10,True,False,True,True,False,False,,2021-06-15 09:14:12,,,,,,,2021,3,Fac3,1.0,21
22,2021-06-11 12:07:12,0,4,1,0,1,1,0,2021-06-11 12:07:13,9,0,0,0,0,0,0,6515,0,0,True,False,True,True,False,False,,2021-06-11 12:07:13,,,,,,,2021,3,Fac3,1.0,22
23,2021-06-16 11:16:28,0,9,3,0,2,4,0,2021-06-16 11:50:12,9,1,0,1,0,1,0,6515,2,5,True,False,True,True,False,False,,2021-06-16 11:16:29,,,,,,,2021,3,Fac3,1.0,23
24,2021-06-10 12:22:34,0,13,3,0,2,11,0,2021-06-22 12:43:54,9,1,0,1,6,1,0,6515,2,2,True,False,True,True,False,False,,2021-06-10 12:22:35,,,,,,,2021,3,Fac3,1.0,24
25,2021-06-18 12:22:40,0,4,1,0,1,1,0,2021-06-18 12:22:41,9,0,0,0,0,0,0,6515,0,0,True,False,True,True,False,False,,2021-06-18 12:22:41,,,,,,,2021,3,Fac3,1.0,25
26,2021-06-10 11:31:09,0,20,3,0,1,21,1,2021-06-24 09:03:38,9,1,0,5,0,1,0,6515,8,19,True,False,True,True,False,False,Smalltalk,2021-06-10 11:31:10,,,,,,,2021,3,Fac3,1.0,26
27,2021-06-17 10:53:37,0,4,1,0,1,1,0,2021-06-17 10:53:39,9,0,0,0,0,0,0,6515,0,0,True,False,True,True,False,False,,2021-06-17 10:53:39,,,,,,,2021,3,Fac3,1.0,27
28,2021-06-18 12:39:11,0,4,1,0,1,1,0,2021-06-18 12:39:12,9,0,0,0,0,0,0,6515,0,0,True,False,True,True,False,False,,2021-06-18 12:39:12,,,,,,,2021,3,Fac3,1.0,28
29,2021-05-29 20:17:51,0,3,1,0,1,1,0,2021-05-29 20:17:53,9,0,0,0,0,0,0,9805,0,0,True,False,True,True,False,False,,2021-05-29 20:17:53,,,,,,,2021,4,Fac1,,0
30,2021-05-29 16:09:01,0,18,3,0,3,7,0,2021-06-03 07:46:34,9,1,1,3,0,1,0,9805,4,13,True,False,True,True,False,False,,2021-05-29 16:09:03,,,,,,,2021,4,Fac1,,1
31,2021-05-27 14:17:48,0,29,4,1,3,20,0,2021-06-08 06:06:22,9,0,0,3,0,0,0,9805,5,10,True,False,True,True,False,False,C#,2021-05-27 14:17:49,,,,,,,2021,4,Fac1,,2
32,2021-05-27 09:24:05,0,116,4,0,1,16,0,2021-05-30 13:11:21,9,1,0,8,0,1,0,9805,10,1,True,False,True,True,False,False,C#,2021-05-27 09:24:07,,,,,,,2021,4,Fac1,,3
33,2021-05-29 11:22:32,1,145,3,0,5,22,1,2021-06-01 14:27:40,9,2,0,3,0,2,0,9805,4,2,True,False,True,True,True,False,C#,2021-05-29 11:22:33,,,,,,,2021,4,Fac1,,4
34,2021-05-27 12:00:21,0,14,3,0,4,19,0,2021-05-27 14:43:08,9,0,0,3,2,0,0,9805,7,2,True,False,True,True,False,False,C#,2021-05-27 12:00:23,,,,,,,2021,4,Fac1,,5
35,2021-05-27 12:10:54,0,116,2,0,6,2,0,2021-05-27 12:35:25,9,0,0,0,0,0,0,9805,5,0,True,False,True,True,False,False,,2021-05-27 12:10:56,,,,,,,2021,4,Fac1,,6
36,2021-05-28 06:43:06,0,7,2,1,3,6,1,2021-05-28 09:54:55,12,0,5,2,0,0,0,9805,7,0,True,False,True,True,False,False,C#,2021-05-28 06:43:07,,,,,,,2021,4,Fac1,,7
37,2021-06-01 14:46:36,0,25,3,1,1,30,0,2021-06-03 15:52:34,12,1,6,6,7,1,0,10029,13,12,True,False,True,True,False,False,C#,2021-06-01 14:46:37,,,,,,,2021,4,Fac1,,29
38,2021-05-27 12:08:09,1,15,3,0,2,11,0,2021-06-08 14:02:44,9,0,0,1,0,0,0,9805,1,0,True,False,True,True,True,False,C#,2021-05-27 12:08:10,,,,,,,2021,4,Fac1,,8
39,2021-05-27 10:23:22,0,26,3,0,5,19,1,2021-06-07 11:14:55,9,1,0,5,8,1,0,9805,10,7,True,False,True,True,False,False,C#,2021-05-27 10:23:23,,,,,,,2021,4,Fac1,,9
40,2021-05-27 08:46:46,0,16,3,1,6,13,0,2021-06-03 14:17:33,9,0,0,5,0,0,0,9805,10,0,True,False,True,True,False,False,C#,2021-05-27 08:46:48,,,,,,,2021,4,Fac1,,10
41,2021-05-27 12:03:15,0,20,3,0,6,16,0,2021-06-08 11:59:19,9,1,0,5,2,1,0,9805,6,1,True,False,True,True,False,False,C#,2021-05-27 12:03:20,,,,,,,2021,4,Fac1,,11
42,2021-05-27 08:34:03,1,23,3,2,6,20,0,2021-05-31 12:01:52,9,1,4,4,0,1,0,9805,8,14,True,False,True,True,True,False,C#,2021-05-27 08:34:05,,,,,,,2021,4,Fac1,,12
43,2021-05-27 12:04:28,0,8,3,0,1,3,0,2021-05-27 13:11:03,9,0,0,0,0,0,0,9805,0,0,True,False,True,True,False,False,,2021-05-27 12:04:29,,,,,,,2021,4,Fac1,,13
44,2021-05-27 12:03:17,0,5,3,0,1,4,0,2021-05-27 13:10:11,9,0,0,0,0,0,0,9805,0,0,True,False,True,True,False,False,,2021-05-27 12:03:18,,,,,,,2021,4,Fac1,,14
45,2021-05-27 11:03:07,0,20,3,0,7,27,0,2021-06-02 09:43:55,10,2,5,7,3,2,0,9805,14,13,True,False,True,True,False,False,C#,2021-05-27 11:03:09,,,,,,,2021,4,Fac1,,15
46,2021-06-01 11:50:20,0,6,2,0,3,4,0,2021-06-02 22:28:28,9,0,0,0,0,0,0,9805,2,0,True,False,True,True,False,False,,2021-06-01 11:50:21,,,,,,,2021,4,Fac1,,16
47,2021-06-25 12:22:40,0,6,1,0,2,1,0,2021-06-25 12:22:41,9,0,0,0,0,0,0,9805,5,0,True,False,True,True,False,False,,2021-06-25 12:22:41,,,,,,,2021,4,Fac3,,17
48,2021-06-24 07:43:32,0,3,1,0,1,1,0,2021-06-24 07:43:34,9,0,0,0,0,0,0,9805,0,0,True,False,True,True,False,False,,2021-06-24 07:43:34,,,,,,,2021,4,Fac3,,18
49,2021-06-28 18:40:36,0,103,1,0,2,1,0,2021-06-28 18:40:38,9,0,0,1,0,0,0,9805,2,0,True,False,True,True,False,False,,2021-06-28 18:40:38,,,,,,,2021,4,Fac3,,19
50,2021-06-29 08:50:28,0,6,1,0,3,1,0,2021-06-29 08:50:29,9,0,0,2,0,0,0,9805,3,1,True,False,True,True,False,False,,2021-06-29 08:50:29,,,,,,,2021,4,Fac3,,21
51,2021-06-25 12:00:31,0,3,1,0,1,1,0,2021-06-25 12:00:33,9,0,0,0,0,0,0,9805,0,0,True,False,True,True,False,False,,2021-06-25 12:00:33,,,,,,,2021,4,Fac3,,23
52,2021-06-24 10:12:45,0,101,3,0,3,5,0,2021-07-04 18:01:59,9,0,4,3,0,0,0,9805,7,0,True,False,True,True,False,False,C#,2021-06-24 10:12:46,,,,,,,2021,4,Fac3,,24
53,2021-06-25 12:15:32,0,3,1,0,1,1,0,2021-06-25 12:15:33,9,0,0,0,0,0,0,9805,0,0,True,False,True,True,False,False,,2021-06-25 12:15:33,,,,,,,2021,4,Fac3,,25
54,2021-06-24 06:58:32,0,120,2,0,2,2,0,2021-07-01 11:37:01,9,0,0,1,0,0,0,9805,2,1,True,False,True,True,False,False,C#,2021-06-24 06:58:34,,,,,,,2021,4,Fac3,,26
55,2021-06-25 12:15:56,0,4,1,0,2,1,0,2021-06-25 12:15:58,9,0,0,1,0,0,0,9805,6,0,True,False,True,True,False,False,,2021-06-25 12:15:58,,,,,,,2021,4,Fac3,,27
56,2021-06-07 12:31:06,0,0,1,0,1,1,0,2021-06-07 12:31:08,9,0,0,0,0,0,0,6544,0,0,True,False,True,True,False,False,,2021-06-07 12:31:08,,,,,,,2021,5,Fac1,,0
57,2021-06-03 07:04:59,0,101,3,0,2,21,0,2021-06-16 12:04:23,9,2,0,4,0,2,0,6544,5,6,True,False,True,True,False,False,C#,2021-06-03 07:05:01,,,,,,,2021,5,Fac1,,1
58,2021-06-03 08:18:44,0,12,2,0,2,2,0,2021-06-10 18:49:00,9,0,0,0,0,0,0,6544,2,5,True,False,True,True,False,False,,2021-06-03 08:18:45,,,,,,,2021,5,Fac1,,2
59,2021-06-03 08:47:26,0,9,3,0,1,7,0,2021-06-06 17:16:41,9,1,0,1,0,1,0,6544,4,3,True,False,True,True,False,False,C#,2021-06-03 08:47:27,,,,,,,2021,5,Fac1,,3
60,2021-06-03 08:33:56,0,8,3,0,3,10,0,2021-06-08 14:14:03,9,2,0,2,0,2,0,6544,3,1,True,False,True,True,False,False,C#,2021-06-03 08:33:57,,,,,,,2021,5,Fac1,,4
61,2021-06-03 11:50:51,0,81,2,0,3,2,0,2021-06-08 12:10:33,9,0,0,2,0,0,0,6544,2,0,True,False,True,True,False,False,,2021-06-03 11:50:53,,,,,,,2021,5,Fac1,,5
62,2021-06-03 14:29:56,0,1,1,0,2,1,0,2021-06-03 14:29:58,9,0,0,0,0,0,0,6544,0,0,True,False,True,True,False,False,,2021-06-03 14:29:58,,,,,,,2021,5,Fac1,,6
63,2021-06-07 10:47:07,0,0,1,0,1,1,0,2021-06-07 10:47:09,9,0,0,0,0,0,0,6544,0,0,True,False,True,True,False,False,,2021-06-07 10:47:09,,,,,,,2021,5,Fac1,,7
64,2021-06-03 12:00:59,0,13,3,1,1,17,0,2021-06-09 16:19:50,14,2,3,2,3,2,0,7760,7,11,True,False,True,True,False,False,C#,2021-06-03 12:01:00,,,,,,,2021,5,Fac1,,29
65,2021-06-08 10:20:46,1,9,3,0,2,6,0,2021-06-16 14:37:05,9,0,0,1,0,0,0,6544,1,0,True,False,True,True,True,False,C#,2021-06-08 10:20:47,,,,,,,2021,5,Fac1,,8
66,2021-06-03 06:47:22,0,13,3,0,3,12,0,2021-06-15 19:45:42,9,1,0,2,0,1,0,6544,4,4,True,False,True,True,False,False,C#,2021-06-03 06:47:23,,,,,,,2021,5,Fac1,,9
67,2021-06-03 07:22:05,0,6,3,1,3,6,0,2021-06-10 13:42:05,9,0,0,2,0,0,0,6544,4,0,True,False,True,True,False,False,C#,2021-06-03 07:22:07,,,,,,,2021,5,Fac1,,10
68,2021-06-05 15:23:09,0,24,3,0,4,8,0,2021-06-17 11:48:42,9,1,0,3,3,1,0,6544,5,10,True,False,True,True,False,False,C#,2021-06-05 15:23:10,,,,,,,2021,5,Fac1,,11
69,2021-06-03 06:41:39,0,11,3,2,1,15,0,2021-06-07 12:21:03,9,1,2,2,15,1,0,6544,5,7,True,False,True,True,False,False,C#,2021-06-03 06:41:40,,,,,,,2021,5,Fac1,,12
70,2021-06-08 12:20:58,0,0,1,0,1,1,0,2021-06-08 12:21:00,9,0,0,0,0,0,0,6544,0,0,True,False,True,True,False,False,,2021-06-08 12:21:00,,,,,,,2021,5,Fac1,,13
